id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
63,1963797,0,55,423.2092,175.74667,195.82898,-0.8447697,-0.10942546,-0.5238227,146.20967,130.51874,35.569897,-0.8152785,-0.41170156,-0.40721354,-133.43123,-13.271979,267.90005,-42.15854,-19.326935,35.48927,-0.75632185,-0.64582866,0.10431979,-46.40644,-158.79015,325.75076,-100.82347,-21.176651,-0.94488525,-0.8774197,-0.41465595,0.24123663,-92.34301,-169.81726,434.017,-42.521706,-3.1700897,35.115505,0.2567135,0.33428425,0.9068364,-114.51022,-125.20192,297.09125,-29.45398,-18.09864,36.018726,0.1467029,0.41079748,0.8998465,-97.23842,-114.10728,264.67157,-14.97876,-31.387245,30.36858,-0.01958787,0.5866828,0.8095799,-72.424866,-88.80345,238.97862,-346.66492,113.9219,182.58844,0.7722582,0.20319115,-0.6019391,-105.27143,175.88899,-0.4863362,0.7831975,0.05051101,-0.6197179,-64.95118,362.52036,-130.42853,52.240604,25.32425,17.842314,0.9236701,0.28269765,-0.25868046,21.600172,278.7762,-148.7333,91.668106,24.498825,-30.49409,0.98791057,-0.008802624,-0.15477492,-74.5196,286.30505,-251.82324,36.343323,9.067581,30.165054,-0.337239,0.007601622,0.94138837,18.087788,216.27353,-167.74263,29.7611,-7.7933655,29.572289,-0.32394028,0.17195374,0.9303196,-8.007197,225.42233,-206.05766,24.574783,-22.914062,22.71521,-0.24529321,0.35819456,0.90084845,-48.012028,249.35641,-242.39804,sign
64,50922141,1,55,424.93683,175.70128,196.9085,-0.87716866,-0.14244178,-0.458569,139.61841,128.49794,49.310005,-0.80671376,-0.2624294,-0.529475,-185.17566,-84.30862,261.15875,-44.62681,-26.105553,26.061798,-0.78903073,-0.60093373,-0.12770733,-239.35185,-178.8184,91.36839,-100.446655,-18.877876,-5.711361,-0.87920606,-0.4553447,0.14020649,-175.0454,-75.61058,231.90956,-43.681625,-12.582291,31.578796,0.22806409,0.04975141,0.9723742,-194.68666,-262.51883,212.39934,-30.765373,-27.354088,28.463211,0.120128736,0.1276077,0.98452294,-196.21376,-255.46239,134.65073,-16.178238,-38.730583,19.371666,-0.045437597,0.32791403,0.94361424,-189.04958,-216.60722,69.2961,-352.96277,95.38231,158.42796,0.7919837,0.30791804,-0.52720803,-107.08709,183.02934,-6.689136,0.7676995,0.02541254,-0.64030594,-50.121758,194.33084,-131.75699,52.87768,24.516846,16.141243,0.9257862,0.24409743,-0.28868034,-23.411388,153.94232,-172.36829,91.239006,22.398636,-33.2745,0.98328596,-0.027911995,-0.17991574,-59.725475,138.38033,-209.20064,37.218605,9.064423,29.089102,-0.3130627,0.030692142,0.9492364,-18.673277,171.11543,-158.59413,30.450653,-7.689575,28.946136,-0.29526952,0.19603182,0.93508685,-26.774643,174.48299,-155.59103,24.79657,-22.876938,22.480917,-0.21682572,0.3808177,0.89886844,-42.91867,176.571,-153.83585,sign
65,100864947,2,55,409.18695,174.26341,186.97603,-0.86607563,-0.16805029,-0.47082064,123.21971,125.96898,43.513287,-0.8999532,-0.16180818,-0.4048486,-214.66718,19.153484,-34.413567,-45.297127,-17.608795,31.68642,-0.88692945,-0.461529,-0.018632334,-213.7193,131.52176,36.23092,-101.68325,-7.5852127,9.656757,-0.8969971,-0.35477722,0.26368412,-227.9645,195.1196,153.20015,-39.595634,-8.4932785,37.768818,0.37437195,0.0028675809,0.92727417,-164.15741,98.52351,50.693672,-29.671684,-24.696732,32.56438,0.25895518,0.086672485,0.9619928,-210.46991,72.58668,35.416985,-17.240433,-37.166306,21.292141,0.13368697,0.31365672,0.9400783,-234.83542,48.45037,13.558997,-339.29626,81.711426,165.85368,0.7412333,0.35661283,-0.56868315,-108.21399,182.13843,-12.203748,0.72504586,0.03566363,-0.68777657,-34.24369,15.067387,-118.87287,54.16074,19.88478,13.803849,0.9227043,0.17614499,-0.34291372,-9.469153,-89.25289,-166.15184,89.61855,21.335327,-38.024426,0.96816283,-0.0483521,-0.24560703,-55.076015,-31.94567,-203.3167,39.185555,6.3744507,27.089127,-0.25324798,-0.011732719,0.9673302,0.08944336,-34.137466,-153.13397,31.994705,-10.115295,26.433472,-0.22734375,0.15584032,0.9612641,-10.6916685,-28.035051,-159.35475,25.421257,-24.78186,19.543877,-0.1456424,0.34037507,0.9289419,-30.165293,-19.112429,-164.15015,sign
66,150951321,3,55,405.58154,177.91005,178.92378,-0.86610425,-0.17614284,-0.46780038,118.46815,133.75278,40.61715,-0.9554664,-0.084330976,-0.28279373,-124.18389,151.6692,-59.963535,-41.636566,-2.107956,37.527267,-0.928816,-0.32119748,0.18475123,-24.654627,435.39252,73.02139,-99.72828,19.12645,15.316158,-0.92027026,-0.034039393,0.3897999,-74.48154,698.9301,50.655296,-35.72152,13.625839,40.084053,0.4749052,0.22933583,0.8496294,-25.583378,602.0614,-18.320694,-30.16098,-5.193619,40.46617,0.37406558,0.34414816,0.86118346,-115.890686,555.78186,97.60309,-21.40564,-23.124863,33.694008,0.30334234,0.5735954,0.7609019,-193.00305,446.50314,189.14716,-320.65213,72.893364,181.39131,0.6715717,0.35864803,-0.6483541,-108.34923,172.03984,-18.64971,0.7014756,0.0018282849,-0.7126911,2.422296,-194.92876,-112.3299,55.116913,16.38379,11.910969,0.9214914,0.10479747,-0.37399355,23.86689,-272.40686,-151.09668,88.97691,17.732819,-41.188087,0.9574277,-0.085401826,-0.27575117,-12.9072895,-261.3264,-179.91408,40.302826,5.3812714,25.645405,-0.21910858,0.009172833,0.97565734,27.561613,-221.82462,-142.67628,32.601776,-10.861313,25.44682,-0.18635964,0.17615856,0.96656,17.07105,-216.77203,-136.78299,25.267227,-25.38057,19.002008,-0.1004278,0.3575655,0.9284725,0.6898679,-212.11253,-130.83612,sign
67,201056805,4,55,408.75266,187.477,185.93077,-0.8524783,-0.15364178,-0.49967486,128.05228,153.96143,31.630934,-0.9145901,-0.0068093827,-0.40432486,197.15225,427.27557,-181.8252,-45.160027,3.010025,31.975782,-0.97179705,-0.22212406,0.07919248,132.17004,483.4469,-270.28574,-97.683716,31.516174,1.0438099,-0.95343906,0.10851955,0.281385,227.09363,638.9728,-387.79184,-38.61788,20.694168,33.88862,0.38815203,0.24808308,0.88757694,141.21997,526.6233,-261.1114,-35.696274,1.4775696,36.22209,0.29345074,0.37547013,0.87915236,92.631966,512.7638,-245.52527,-28.045235,-17.809067,31.964647,0.26956376,0.6017523,0.7518175,76.2818,486.49588,-217.165,-311.9376,82.46291,197.20143,0.64636,0.26622555,-0.7150823,-105.981514,154.76454,-20.332169,0.69886327,-0.057967767,-0.7129024,28.4409,-310.98572,-42.76129,55.60904,13.896942,11.301771,0.9248374,0.042144626,-0.37802067,33.43546,-360.72794,-41.71112,89.51552,12.258926,-41.931847,0.9523005,-0.13725424,-0.27255288,47.152157,-423.68488,-41.895454,40.314796,4.959244,25.604202,-0.22273728,0.06041585,0.97300464,21.421019,-308.51993,-33.59967,32.26069,-10.955063,25.931509,-0.17599003,0.22697532,0.95786726,16.166332,-303.0873,-20.515306,24.348145,-25.449112,20.140192,-0.08278987,0.4026596,0.9115981,7.6969614,-304.67804,-5.6606975,sign
68,251708592,5,55,400.83627,208.45998,207.79474,-0.7927391,-0.15596405,-0.58927065,138.54282,176.43259,24.971094,-0.865656,0.038530584,-0.49915436,151.51297,379.3196,-167.0137,-49.34925,0.7659607,27.88804,-0.9792137,-0.19861025,-0.041163374,58.89062,341.4056,-245.43663,-97.5183,31.524658,-5.192211,-0.97728276,0.08020854,0.19617587,162.75632,428.5461,-266.75497,-40.910103,16.538025,31.983614,0.32857993,0.13614525,0.93461204,115.88308,285.66232,-185.1733,-37.199356,-2.6947327,32.688416,0.26847777,0.2618549,0.92701226,112.897736,280.50372,-238.81471,-31.082695,-21.35878,26.513819,0.17920671,0.5137264,0.8390293,79.436356,294.84805,-291.74475,-335.40338,104.54893,184.98506,0.73978364,0.1228174,-0.6615407,-104.36085,136.23956,-17.713617,0.7120638,-0.12679493,-0.69057095,39.202904,-351.80893,43.29489,55.977726,9.964142,12.636799,0.93537235,-0.03462679,-0.3519652,44.3039,-424.24478,69.185295,91.17174,4.6200104,-39.735924,0.945103,-0.21480991,-0.24624597,68.2411,-495.2077,81.955284,39.625008,3.0150452,26.885899,-0.2498385,0.10442962,0.9626397,23.66567,-386.8287,70.00052,30.677551,-12.273071,27.339935,-0.18821257,0.26790094,0.94488364,8.033142,-375.45477,72.353455,21.994385,-26.359749,21.670967,-0.08097754,0.43508196,0.89674205,-5.4428616,-367.57626,74.55575,sign
69,301775388,6,55,391.7739,198.64102,224.31111,-0.7502466,-0.044270843,-0.6596743,143.31418,196.62663,18.131144,-0.7921447,0.06025798,-0.60735136,106.36434,384.45532,-109.23819,-52.938744,-11.455215,20.078821,-0.9273998,-0.29904473,-0.22472624,31.477936,173.8094,-265.77377,-99.88336,20.481445,-13.724847,-0.9963664,-0.080018885,0.029171253,68.88096,190.48279,-312.77856,-46.141953,2.8920898,28.234045,0.19712439,-0.06559392,0.97818166,10.364408,131.83672,-194.36139,-38.849358,-15.24144,25.199602,0.14545906,0.049424104,0.988129,74.78834,155.33354,-260.91873,-30.520966,-30.932709,15.509798,-0.011313613,0.30343816,0.95278394,114.215065,211.6845,-325.51346,-344.32248,98.48692,177.68645,0.77746046,0.13092467,-0.6151536,-102.32479,126.44341,-10.895888,0.72263503,-0.22781594,-0.65260905,42.558514,-226.66336,141.72101,55.13126,-0.38541412,15.369322,0.9308702,-0.19295822,-0.3102383,24.813585,-397.744,190.45259,92.84114,-8.438156,-34.85827,0.9165151,-0.34778965,-0.1975916,73.815994,-462.28918,235.69235,38.122627,-2.3860474,29.084713,-0.2833288,0.14282645,0.94832766,12.925817,-317.7877,184.1645,27.194527,-16.262375,29.024292,-0.19820543,0.29633948,0.9342899,-22.369244,-293.06012,177.93376,16.983261,-29.033295,22.847614,-0.06595006,0.44371763,0.89373666,-47.660862,-270.6246,169.24995,sign
70,352388020,7,55,395.55878,173.97372,218.89856,-0.75329626,0.05808259,-0.65511155,147.81331,201.27377,12.179075,-0.74739605,0.113045685,-0.6546906,92.28084,135.55734,-133.2084,-54.223946,-17.075882,14.32489,-0.89067173,-0.30278286,-0.33915538,59.054226,13.777153,-247.91406,-99.82166,16.98555,-20.869213,-0.9845793,-0.13204728,-0.114747815,87.98944,44.80903,-308.86203,-48.002922,-5.315689,24.311304,0.13251415,-0.22359124,0.9656329,46.287266,-31.696178,-208.37221,-39.591736,-22.095428,18.646528,0.043906268,-0.11960093,0.99185073,64.38973,-7.258781,-261.82126,-28.719742,-35.107742,7.563263,-0.09257674,0.13289465,0.9867971,126.10463,43.529987,-281.83377,-341.44016,90.14561,179.98271,0.7806667,0.1538438,-0.60571575,-97.27969,120.11311,-3.158521,0.7457961,-0.30078003,-0.59440696,113.69555,-112.69532,172.69682,53.431446,-4.0455017,18.685415,0.9270803,-0.28648916,-0.24175642,70.24544,-265.79184,245.22694,94.10706,-15.440254,-28.482115,0.9043133,-0.4087416,-0.12307599,136.5061,-344.9075,315.48657,36.09355,-3.108078,31.52525,-0.329924,0.20591873,0.921275,66.89354,-175.25514,227.48389,24.644157,-16.384155,31.571217,-0.22546126,0.35045412,0.9090375,42.853832,-153.25912,225.88269,13.948929,-28.754097,25.359167,-0.08637041,0.48894197,0.8680299,20.07594,-131.86942,221.06425,sign
71,402466003,8,55,397.9805,166.34167,211.052,-0.75398153,0.06389014,-0.6537812,150.70238,193.54042,3.164908,-0.7283827,0.084444165,-0.6799469,63.35224,-125.40754,-144.08954,-54.295013,-18.892426,12.970226,-0.8717031,-0.32774645,-0.364302,64.03084,-194.31313,-189.64632,-99.31448,14.1801605,-26.302042,-0.97179246,-0.15864336,-0.17450427,70.29639,-215.45107,-268.3056,-48.48713,-6.933548,22.834316,0.10664675,-0.21548171,0.9706668,48.738197,-191.93683,-181.54054,-39.044006,-23.41249,17.872656,0.02671333,-0.112684704,0.99327165,73.61303,-180.76651,-177.5822,-27.493301,-35.955475,7.162185,-0.11678183,0.13734137,0.98361546,100.139175,-160.47997,-170.10304,-336.138,92.4829,191.88373,0.76205736,0.13763699,-0.6327121,-94.50152,118.752556,5.581534,0.7969758,-0.2932446,-0.52805036,70.69201,-20.325565,170.54742,51.747917,-3.6411972,22.067081,0.9484576,-0.26042944,-0.18056776,43.498466,-25.956854,225.82072,96.40009,-14.176689,-20.512592,0.917719,-0.3942908,-0.048234984,110.77241,-25.09171,316.2345,34.009274,-2.6595535,34.150967,-0.38863325,0.20354822,0.89862806,39.478138,-31.387106,215.87427,22.130814,-15.926216,33.47995,-0.30811676,0.35235497,0.88369113,19.814941,-26.553814,201.42677,12.277298,-28.415352,26.754736,-0.16084222,0.4907209,0.8563427,26.972996,-21.554827,194.80618,sign
72,452792899,9,55,411.64383,171.63841,199.313,-0.78895634,0.009824091,-0.61437076,154.95041,179.88939,0.9690482,-0.71849185,0.0073635206,-0.69549644,56.748425,-233.30956,-37.922504,-53.105232,-22.478882,12.517875,-0.8387709,-0.3977313,-0.37185088,85.70965,-317.59146,-45.94447,-99.143745,6.1388702,-30.566772,-0.9485018,-0.23485407,-0.21257444,55.96322,-418.6037,-113.36667,-47.983658,-9.8980255,22.360964,0.110655464,-0.17506243,0.9783192,69.71333,-302.19043,-43.85233,-37.422653,-25.762924,18.0785,0.014893228,-0.07945245,0.9967274,88.08661,-289.1341,-36.853867,-24.635803,-37.56549,8.277126,-0.13533945,0.16270515,0.97734857,121.52309,-270.63138,-13.467081,-314.1814,73.05933,218.88101,0.687628,0.20621015,-0.6961646,-90.918045,123.845726,16.102932,0.82744765,-0.16700944,-0.5361327,69.822556,80.049385,195.97179,51.80935,2.4743805,20.596855,0.9734771,-0.067078784,-0.21872969,74.80015,190.60397,157.02512,97.466125,-0.6982727,-20.536661,0.96183455,-0.26759565,-0.057156567,84.953186,325.98965,183.95367,34.834023,0.16649628,33.828747,-0.3922395,0.11436125,0.9127265,90.668915,116.43676,184.4152,23.70382,-14.288971,32.760117,-0.36341536,0.27591833,0.8898305,95.313835,97.428345,174.32216,15.777069,-27.719826,25.536095,-0.2259869,0.43092442,0.87363267,131.9133,82.82781,160.84846,sign
73,502594002,10,55,417.63782,171.93976,199.45694,-0.79738176,-0.062661834,-0.60021317,158.07793,158.43578,5.43758,-0.72665024,-0.030230459,-0.6863422,67.270996,-376.00677,63.714554,-53.00454,-22.508102,12.659811,-0.84368384,-0.38871816,-0.3702644,64.10092,-347.44562,88.805214,-99.40314,1.8077698,-30.69822,-0.9368122,-0.27569735,-0.2153459,54.47421,-476.08188,79.07074,-47.678406,-11.676849,22.696726,0.1093077,-0.1658682,0.9800712,69.05862,-390.96918,83.64952,-36.353424,-27.160248,18.580114,0.017944442,-0.071992345,0.99724376,87.09882,-387.60806,99.1397,-22.838837,-38.399612,9.153011,-0.12512459,0.16915539,0.9776146,100.21195,-384.41388,112.50301,-309.90958,74.082146,221.06798,0.6844236,0.24557522,-0.6864817,-87.95385,140.08894,19.91697,0.82649916,-0.06910351,-0.5586805,50.881397,282.19077,82.73412,51.39417,6.984604,19.632317,0.96585053,0.088622175,-0.24347255,38.559853,412.19724,74.15334,96.88868,8.331696,-20.63724,0.9808458,-0.1865629,-0.05599791,42.594265,481.35114,93.1014,34.763397,1.1241608,33.423927,-0.40357345,0.0327238,0.9143619,47.84318,316.90042,76.83384,24.893787,-14.044319,31.49493,-0.38343495,0.19767414,0.9021655,75.75842,299.45987,62.141094,18.129646,-27.665031,23.648884,-0.2585968,0.36387128,0.8948326,100.94308,292.62338,52.946888,sign
74,553743147,11,55,415.97275,172.4505,196.36322,-0.78651106,-0.049560722,-0.6155844,156.27805,151.50641,3.7961688,-0.79208565,-0.26371568,-0.55050373,-18.89967,-211.41049,-34.256237,-49.657806,-16.96463,28.721592,-0.84404755,-0.5329199,-0.05983402,81.89366,-140.53798,331.71274,-101.922485,-7.670685,-19.584732,-0.94763684,-0.31921014,-0.009450612,-73.23279,-412.72363,210.23439,-44.926666,-1.4565277,30.104305,0.21089013,0.20275724,0.9562504,37.490017,-7.448391,110.34775,-34.06382,-17.715942,30.722542,0.11178291,0.29638648,0.9485039,32.47919,-19.449812,205.55872,-21.172928,-31.795639,24.936323,-0.028357046,0.5165028,0.8558158,22.683382,-70.01308,277.8952,-318.79175,81.2207,206.37498,0.7304801,0.2544131,-0.63377666,-85.380325,152.12897,18.497784,0.82388157,-0.01907463,-0.5664409,53.31471,256.71555,-11.526859,50.195065,10.790817,20.068146,0.9516366,0.19151658,-0.24022742,27.34109,352.57806,-0.12380821,96.33784,13.105682,-19.83929,0.98882383,-0.1423002,-0.0444761,40.511204,383.69708,1.959175,34.02132,1.9967804,33.59706,-0.4220036,-0.004845395,0.9065812,23.462296,278.77377,-2.9303775,24.41985,-13.341873,31.353973,-0.42087442,0.16413711,0.8921456,43.614216,272.8995,-15.387038,18.72293,-27.069237,23.20449,-0.30176726,0.33604923,0.8921925,70.18269,270.94232,-22.99185,sign
75,603719048,12,55,414.72495,173.16615,192.6905,-0.7724595,-0.09046883,-0.6285871,155.69296,133.2416,8.63427,-0.8623942,-0.4322926,-0.26343757,25.150434,-348.19733,19.658823,-45.387802,3.195755,38.67128,-0.8376326,-0.4425059,0.32025018,126.59145,113.63042,239.89877,-103.54822,-7.4482117,-2.6264787,-0.9461199,-0.19241934,0.2604457,-9.68975,-352.07516,399.2441,-39.99685,18.423416,30.895855,0.35728106,0.63459074,0.6853064,134.48756,118.21463,12.911193,-29.478745,3.8670197,38.594723,0.27125344,0.72217476,0.6363059,120.817215,159.22993,182.6124,-18.796967,-12.685776,39.555786,0.097513765,0.8766783,0.47109047,77.21818,107.99099,348.67792,-333.71515,87.47611,180.49197,0.7816175,0.27890503,-0.5579302,-86.67168,164.53922,12.987889,0.84701747,-0.03827034,-0.53018564,-29.474304,306.42712,-103.35851,47.78311,25.131332,21.942818,0.9232762,0.32945606,-0.1975344,-51.255688,590.52075,-57.531193,95.808586,18.007034,-18.152617,0.99792176,-0.062429883,0.015959594,-29.030298,334.981,-84.685104,30.518204,10.137909,34.20934,-0.5009153,0.09709121,0.8600332,-96.55554,426.91083,-94.80472,22.059593,-5.8076324,34.3357,-0.5122196,0.2635421,0.8174207,-72.138016,422.51718,-58.32944,18.833366,-21.01912,28.237446,-0.39506653,0.44736683,0.8023624,-46.164925,402.3796,-18.700163,sign
76,654590847,13,55,413.1223,172.45746,194.61508,-0.7855973,-0.0783082,-0.61376274,149.93346,134.26038,19.254772,-0.8723517,-0.45988715,-0.1658501,-94.3548,35.074566,205.14781,-41.497154,5.008072,41.86489,-0.76557475,-0.45412642,0.45570222,-33.213333,-3.7558608,288.0776,-102.893234,-7.330597,6.2583866,-0.91679615,-0.14916052,0.37045375,-82.42213,-31.915236,363.8015,-37.993637,21.725525,31.389568,0.39324525,0.70231974,0.5933845,-76.43069,52.11898,259.15125,-27.232742,7.821808,39.751923,0.29753095,0.7851562,0.54314375,-67.72785,51.658806,261.75876,-16.11847,-8.32785,41.708473,0.12590382,0.9206816,0.36945045,-55.049183,51.515766,262.58807,-343.5492,78.19753,150.08736,0.83032614,0.3284538,-0.4501962,-86.3716,170.67873,6.816907,0.7923709,0.022657374,-0.6096187,6.1826425,140.6273,-120.61182,49.812862,22.919495,20.854538,0.90957224,0.3401539,-0.23869163,29.623945,145.29073,-152.92255,93.94208,19.635117,-24.916512,0.99365824,-0.068738334,-0.088985085,-28.250633,174.51451,-244.21762,32.938236,5.7638855,32.427322,-0.4322367,-0.005949755,0.90174055,33.402943,110.33434,-152.06787,24.88921,-9.984589,31.229015,-0.42626065,0.16454068,0.8895101,57.28837,110.365425,-162.61748,20.391876,-24.158157,23.826637,-0.33331016,0.3534373,0.8740632,29.15289,121.754814,-168.27945,sign
77,704725698,14,55,413.59723,172.93484,196.33678,-0.80315435,-0.074164994,-0.59113675,144.79686,140.3579,25.044851,-0.8971833,-0.3810306,-0.22333336,-117.63797,122.69023,154.54816,-40.1531,1.1489868,43.401527,-0.77153426,-0.4803245,0.41716096,-72.53366,39.701977,209.12372,-102.59192,-1.2801208,7.4830074,-0.9152391,-0.12784162,0.38209146,-106.83068,234.14482,231.30377,-37.016556,19.58574,34.301117,0.42119884,0.59203994,0.687081,-93.583176,85.89709,229.74352,-27.380493,4.0557404,40.779114,0.32128826,0.6872811,0.6514741,-122.7029,52.903336,195.42094,-16.646988,-12.686714,40.325638,0.18353604,0.8525658,0.48933223,-116.854866,42.324703,144.38097,-340.06943,65.78682,141.84187,0.8007748,0.3968101,-0.44866633,-90.51361,172.66774,-1.7974445,0.7911617,-0.046264935,-0.6098547,-95.721176,66.19801,-216.50946,49.43479,26.145721,18.717278,0.91000414,0.31684515,-0.26739785,-104.892235,154.0029,-269.15656,93.97304,16.29779,-27.13017,0.99236816,-0.08498406,-0.08934849,-105.16051,11.911585,-297.50903,32.364326,9.00856,31.834387,-0.44347224,0.0914922,0.89160615,-101.36871,135.21938,-236.6422,24.779655,-6.720352,32.17653,-0.4246764,0.25911295,0.8674736,-85.26716,134.43639,-204.93306,19.994247,-21.428452,26.242517,-0.33884442,0.4573057,0.8222262,-96.477974,124.97425,-176.81293,sign
78,755331338,15,55,416.83557,173.35783,198.88472,-0.839731,-0.02634463,-0.5423632,138.54117,164.03612,34.315704,-0.9019398,-0.18408957,-0.39066043,-41.03307,196.39684,95.53376,-43.57106,-9.413406,39.053078,-0.84562,-0.5022621,0.18071963,-143.38689,187.27654,8.541752,-101.55641,7.992752,5.519104,-0.9330373,-0.1352942,0.3333721,-22.36324,482.55396,46.856327,-38.381287,10.470398,37.034103,0.39794806,0.271941,0.8761766,-64.99223,169.31702,93.3559,-30.699036,-7.198166,38.419907,0.30812258,0.3846277,0.87012756,-109.020294,137.07408,49.40006,-21.218193,-23.850174,32.51377,0.19887587,0.6063046,0.7699631,-156.65413,117.48427,1.5888823,-348.87854,58.945625,136.24356,0.8059765,0.36599773,-0.46523917,-100.92108,156.28886,-15.941915,0.7255242,-0.07769543,-0.6837968,-136.00177,-250.03491,-200.54843,48.550304,14.220459,18.149004,0.94076353,0.11050269,-0.32055125,-152.48083,-569.7341,-183.94685,90.95592,13.276352,-37.28657,0.9723123,-0.11487718,-0.20349966,-175.487,-315.84738,-341.99933,34.967705,9.067841,28.61322,-0.360321,0.12224891,0.92478323,-104.25838,-238.81645,-240.68645,27.417747,-6.4645996,29.931042,-0.3368654,0.28669843,0.89684206,-105.17548,-235.82318,-223.7239,21.842201,-21.137894,24.64376,-0.25258157,0.49259552,0.8327978,-116.62761,-236.68947,-210.438,sign
79,805351521,16,55,414.2406,174.48796,201.6315,-0.837789,-0.016657712,-0.54573995,137.92667,176.07469,33.194996,-0.88916266,-0.030338239,-0.45658448,-8.8576975,162.90164,-9.581653,-48.479095,-4.386078,34.509876,-0.9336911,-0.3524484,0.063254066,-94.73866,274.71536,-85.010445,-99.519684,20.855453,3.0330315,-0.9554488,-0.036924787,0.2928381,27.602476,403.83026,-55.072697,-38.805695,11.746506,35.7301,0.38270503,0.13410172,0.9140862,-11.87578,214.96912,-37.117374,-32.62973,-6.737671,35.83427,0.33453223,0.2562714,0.90687,-39.71934,198.04597,-46.187218,-25.446617,-23.773209,28.711418,0.2485674,0.49734277,0.83118254,-78.78945,183.49019,-55.000103,-351.28632,62.428444,147.74141,0.8004091,0.29887724,-0.5196323,-106.38513,138.49658,-20.506155,0.6797459,-0.1504371,-0.7178539,-109.45644,-330.92517,-82.0163,49.59843,5.418335,16.685371,0.93119717,-0.072725795,-0.3571873,-98.69395,-491.79694,-114.503204,89.40323,4.5591583,-42.863953,0.9415039,-0.2054648,-0.26712292,-143.02934,-476.79504,-192.02274,36.774834,6.5662537,26.907108,-0.30326983,0.16778961,0.938016,-76.234276,-359.91064,-114.527695,28.122383,-8.235275,28.809834,-0.2668273,0.3282728,0.9061127,-93.49672,-348.4705,-99.82053,21.106216,-22.385857,23.996159,-0.1679953,0.53253406,0.82956916,-115.94695,-341.10156,-88.65101,sign
80,856146875,17,55,405.49994,179.12573,207.22357,-0.8101112,-0.010337184,-0.5861851,137.90231,187.52345,27.05526,-0.8910425,0.052048333,-0.450926,28.646383,234.30798,-98.68423,-48.012405,8.0182495,34.1326,-0.97662586,-0.18894657,0.10247501,33.90673,473.16922,-123.323006,-94.47694,37.637268,0.70737076,-0.9394397,0.16886446,0.2982245,140.19101,606.5044,-141.25536,-35.274246,22.643723,33.67826,0.42823166,0.19014555,0.8834378,103.25746,441.68005,-137.55353,-31.679573,3.5589905,36.364243,0.41421276,0.31370732,0.85440946,53.276463,426.60754,-94.50862,-28.03801,-15.175049,31.581123,0.35561064,0.55502623,0.7519887,-28.10753,394.569,-57.280964,-353.71008,68.9052,154.2771,0.8059759,0.229933,-0.5454664,-107.05404,124.63283,-20.086887,0.67838997,-0.19616267,-0.7080305,-22.316412,-341.55093,6.028685,51.191494,5.2080994,15.147619,0.92466635,-0.055131923,-0.37676597,34.151356,-321.99677,-63.570076,89.87775,-1.440445,-42.12337,0.92730993,-0.26820296,-0.26108128,-21.983109,-463.29626,-3.395875,36.694626,4.4270935,27.493963,-0.30348244,0.19092411,0.9335129,-15.886813,-386.95288,10.170493,27.122856,-9.773926,29.356243,-0.25678432,0.34845132,0.9014674,-34.273174,-375.19708,10.244373,19.354843,-23.43798,24.41745,-0.14138018,0.55071765,0.822631,-50.38525,-364.76535,7.3744874,sign
